AB,Aberdeen,Scotland
AL,St. Albans,England
B,Birmingham,England
BA,Bath,England
BB,Blackburn,England
BD,Bradford,England
BH,Bournemouth,England
BL,Bolton,England
BN,Brighton,England
BR,Bromley,England
BS,Bristol,England
BT,Belfast,Northern Ireland
CA,Carlisle,England
CB,Cambridge,England
CF,Cardiff,Wales
CH,Chester,England
CM,Chelmsford,England
CO,Colchester,England
CR,Croydon,England
CT,Canterbury,England
CV,Coventry,England
CW,Crewe,England
DA,Dartford,England
DD,Dundee,Scotland
DE,Derby,England
DG,Dumfries,Scotland
DH,Durham,England
DL,Darlington,England
DN,Doncaster,England
DT,Dorchester,England
DY,Dudley,England
E,London,England
EC,London,England
EH,Edinburgh,Scotland
EN,Enfield,England
EX,Exeter,England
FK,Falkirk,Scotland
FY,Blackpool,England
G,Glasgow,Scotland
GL,Gloucester,England
GU,Guildford,England
GY,Guernsey,Channel Islands
HA,Harrow,England
HD,Huddersfield,England
HG,Harrogate,England
HP,Hemel Hempstead,England
HR,Hereford,England/Wales
HS,Hebrides,Scotland
HU,Hull,England
HX,Halifax,England
IG,Ilford,England
IM,Isle of Man,Isle of Man
IP,Ipswich,England
IV,Inverness,Scotland
JE,Jersey,Channel Islands
KA,Kilmarnock,Scotland
KT,Kingston upon Thames,England
KW,Kirkwall,Scotland
KY,Kirkcaldy,Scotland
L,Liverpool,England
LA,Lancaster,England
LD,Llandrindod Wells,Wales/England
LE,Leicester,England
LL,Llandudno,Wales
LN,Lincoln,England
LS,Leeds,England
LU,Luton,England
M,Manchester,England
ME,Medway,England
MK,Milton,Keynes,England
ML,Motherwell,Scotland
N,London N,England
NE,Newcastle upon Tyne,England
NG,Nottingham,England
NN,Northampton,England
NP,Newport Gwent,Wales/England
NR,Norwich,England
NW,London NW,England
OL,Oldham,England
OX,Oxford,England
PA,Paisley,Scotland
PE,Peterborough,England 
PH,Perth,Scotland 
PL,Plymouth,England 
PO,Portsmouth,England 
PR,Preston,England 
RG,Reading,England 
RH,Redhill,England 
RM,Romford,England 
S,Sheffield,England 
SA,Swansea,Wales 
SE,London SE,England 
SG,Stevenage,England
SK,Stockport,England
SL,Slough,England 
SM,Sutton,England
SN,Swindon,England 
SO,Southampton,England 
SP,Salisbury,England 
SR,Sunderland,England
SS,Southend-on-Sea,England 
ST,Stoke-on-Trent,England 
SW,London SW,England 
SY,Shrewsbury,England/Wales 
TA,Taunton,England 
TD,Galashiels Scotland,England 
TF,Telford,England 
TN,Tonbridge,England 
TQ,Torquay,England 
TR,Truro,England 
TS,Cleveland,England 
TW,Twickenham,England 
UB,Southall,England 
W,London W,England 
WA,Warrington,England 
WC,London WC,England 
WD,Watford,England 
WF,Wakefield,England 
WN,Wigan,England 
WR,Worcester,England 
WS,Walsall,England 
WV,Wolverhampton,England 
YO,York,England 
ZE,Lerwick Shetland,Scotland 